Question,Intent
How can I identify aphids on my plants?,pest_detection
What are the common symptoms of powdery mildew?,pest_detection
How can I identify aphids on my plants?,pest_detection
What are the common symptoms of powdery mildew?,pest_detection
pest level, pest_detection
"Aphids have affected my black gram crop,what pesticide should I use ?",aphids_pesticide
"Aphids have affected my black gram crop,what organic manure should I use ?",aphids_organic manure
"Aphids have affected my green gram plant,what pesticide should I use ?",aphidsg_pesticide
"Aphids have affected my green gram plant,what organic manure should I use ?",aphidsg_organic manure
"Aphids have affected my groundnut plant,what pesticide should I use ?",aphidsground_pesticide
"Aphids have affected my groundnut plant,what organic manure should I use ?",aphidsground_organic manure
"Aphids have affected my sesame plant,what pesticide should I use ?",aphidssesame_pesticide
"Aphids have affected my sesame plant,what organic manure should I use ?",aphidssesame_organic manure
"Aphids have affected my brinjal,what pesticide should I use ?",aphidsbrinjal_pesticide
"Aphids have affected my brinjal,what organic manure should I use ?",aphidsbrinjal_organic manure
"Aphids have affected my tomato plant,what pesticide should I use ?",aphidst_pesticide
"Aphids have affected my tomato plant,what organic manure should I use ?",aphidst_organic manure
"Aphids have affected my lady's finger plant,what pesticide should I use ?",aphidsl_pesticide
"Aphids have affected my lady's finger plant,what organic manure should I use ?",aphidsl_organic manure
"Aphids have affected my green chilli plant,what pesticide should I use ?",aphidschilli_pesticide
"Aphids have affected my green chilli plant,what organic manure should I use ?",aphidschilli_organic manure
"Aphids have affected my bottle gourd plant ,what pesticide should I use ?",aphidsbottle_pesticide
"Aphids have affected my bottle gourd plant,what organic manure should I use ?",aphidsbottle_organic manure
"Aphids have affected my bitter gourd plant,what pesticide should I use ?",aphidsbitter_pesticide
"Aphids have affected my bitter gourd plant,what organic manure should I use ?",aphidsbitter_organic manure
"Aphids have affected my ash gourd plant,what pesticide should I use ?",aphidsash_pesticide
"Aphids have affected my ash gourd plant,what organic manure should I use ?",aphidsash_organic manure
"Aphids have affected my cabbage plant,what pesticide should I use ?",aphidscab_pesticide
"Aphids have affected my cabbage plant,what organic manure should I use ?",aphidscab_organic manure
"Aphids have affected my cauliflower plant,what pesticide should I use ?",aphidscauli_pesticide
"Aphids have affected my cauliflower plant,what organic manure should I use ?",aphidscauli_organic manure 
"Aphids have affected my carrot plant,what pesticide should I use ?",aphids_carrot
"Aphids have affected my carrot plant,what organic manure should I use ?",aphidscarrot_organic manure
"Aphids have affected my radish plant,what pesticide should I use ?",aphids_radish
"Aphids have affected my radish plant,what organic manure should I use ?",aphidsradish_organic manure
"Aphids have affected my banana plant,what pesticide should I use ?","aphids_banana"""
"Aphids have affected my banana plant,what organic manure should I use ?",aphidsba_organic manure
"Aphids have affected my red gram plant,what pesticide should I use ?",aphids_red gram
"Aphids have affected my red gram plant,what organic manure should I use ?",aphidsred_organic manure
"Aphids have affected my cowpea  plant,what pesticide should I use ?",aphids_cowpea
"Aphids have affected my cowpea plant,what organic manure should I use ?",aphidscow_organic manure
"Aphids have affected my horse gram plant,what pesticide should I use ?",aphids_hores gram
"Aphids have affected my horse gram plant,what organic manure should I use ?",aphidshorse_organic manure
"Aphids have affected my lentils plant,what pesticide should I use ?",aphids_lentils
"Aphids have affected my lentils plant,what organic manure should I use ?",aphidslen_organic manure
,
,
"stem borer have affected my rice plant,what pesticide should I use ?",stemborer_rice
"stem borer have affected my rice plant,what organic manure should I use ?",stemborer_organic manure
"stem borer have affected my sugarcane plant,what pesticide should I use ?",stemborer_sugercane
"stem borer have affected my sugarcane plant,what organic manure should I use ?",stemborersugar_organic manure
"Thrips have affected my groundnut plant,what pesticide should I use ?",thrips_groundnut
"Thrips have affected my groundnut plant,what organic manure should I use ?",thrips_organic manure
"Rust thrips have affected my banana plant,what pesticide should I use ?",thrips_banana
"Rust thrips have affected my banana plant,what organic manure should I use ?",thripsbanana_organic manure
"Leafhoppers have affected my black gram plant,what pesticide should I use ?",Leafhoppers_black gram
"Leafhoppers have affected my black gram plant,what organic manure should I use ?",Leafhoppers_organic manure
"Fruit and shoot borer have affected my brinjal plant,what pesticide should I use ?",Fruit and shoot borer_pesticide
"Fruit and shoot borer have affected my brinjal plant,what organic manure should I use ?",Fruit and shoot borer_brinjal
"Jassids have affected my brinjal plant,what pesticide should I use ?",Jassids_pesticide
"Jassids have affected my brinjal plant,what organic manure should I use ?",Jassids_brinjal
"Whiteflies have affected my brinjal plant,what pesticide should I use ?",Whiteflies_pesticide
